file,class,method,variable,usage
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,notifyCustomers/1[com.learning_design_patterns.Computer.Computer],e,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,notifyCustomers/1[com.learning_design_patterns.Computer.Computer],justArrivedComputer,2
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,notifyCustomers/1[com.learning_design_patterns.Computer.Computer],customer,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,orderNewRandomComputerFromRandomFactory/0,isLaptop,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,orderNewRandomComputerFromRandomFactory/0,newComputer,4
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,unsubscribe/1[com.learning_design_patterns.Customer.Customer],customer,2
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,removePC/1[com.learning_design_patterns.Computer.Computer],computer,2
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,subscribe/1[com.learning_design_patterns.Customer.Customer],customer,2
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Store\TopTierComputersStore.java,com.learning_design_patterns.Store.TopTierComputersStore,addPC/1[com.learning_design_patterns.Computer.Computer],computer,2
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Customer.java,com.learning_design_patterns.Customer.Customer,newPcAvailable/1[com.learning_design_patterns.Computer.Computer],newAvailablePc,6
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Customer\Customer.java,com.learning_design_patterns.Customer.Customer,requestComputer/0,randomComputerSpecGenerator,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Computer\DesktopPC.java,com.learning_design_patterns.Computer.DesktopPC,DesktopPC/1[java.util.ArrayList<java.lang.String>],systemSpecs,2
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Factory\LaptopFactory.java,com.learning_design_patterns.Factory.LaptopFactory,createComputer/0,randomComputerSpecGenerator,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\App.java,com.learning_design_patterns.App,main/1[java.lang.String[]],args,0
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\App.java,com.learning_design_patterns.App,main/1[java.lang.String[]],computerCount,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\App.java,com.learning_design_patterns.App,main/1[java.lang.String[]],topTierComputersStore,4
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\App.java,com.learning_design_patterns.App,main/1[java.lang.String[]],scanner,3
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\App.java,com.learning_design_patterns.App,main/1[java.lang.String[]],i,5
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\App.java,com.learning_design_patterns.App,main/1[java.lang.String[]],customerCount,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\RandomComputerGenerator\RandomComputerSpecGenerator.java,com.learning_design_patterns.RandomComputerGenerator.RandomComputerSpecGenerator,generateComputer/1[java.lang.String],generatedComputer,3
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\RandomComputerGenerator\RandomComputerSpecGenerator.java,com.learning_design_patterns.RandomComputerGenerator.RandomComputerSpecGenerator,generateComputer/1[java.lang.String],type,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\RandomComputerGenerator\RandomComputerSpecGenerator.java,com.learning_design_patterns.RandomComputerGenerator.RandomComputerSpecGenerator,generateComputer/1[java.lang.String],generatedSpecList,6
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\RandomComputerGenerator\RandomComputerSpecGenerator.java,com.learning_design_patterns.RandomComputerGenerator.RandomComputerSpecGenerator,generateComputerForCustomer/0,generatedComputer,3
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\RandomComputerGenerator\RandomComputerSpecGenerator.java,com.learning_design_patterns.RandomComputerGenerator.RandomComputerSpecGenerator,generateComputerForCustomer/0,isLaptop,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\RandomComputerGenerator\RandomComputerSpecGenerator.java,com.learning_design_patterns.RandomComputerGenerator.RandomComputerSpecGenerator,generateComputerForCustomer/0,generatedSpecList,4
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Factory\DesktopPCFactory.java,com.learning_design_patterns.Factory.DesktopPCFactory,createComputer/0,randomComputerSpecGenerator,1
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Computer\Laptop.java,com.learning_design_patterns.Computer.Laptop,Laptop/1[java.util.ArrayList<java.lang.String>],systemSpecs,2
C:\PROJECTS\Computer-Store-DP-main\Computer-Store-DP-main\src\main\java\com\learning_design_patterns\Factory\ComputerFactory.java,com.learning_design_patterns.Factory.ComputerFactory,makeComputer/1[com.learning_design_patterns.Factory.IComputerFactory],factory,1
